"Ad name","Ad delivery","Ad Set Name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Quality ranking","Amount spent (MXN)","Estimated ad recall lift rate","Link clicks","Result rate",Frequency,"Clicks (all)","Reporting starts","Reporting ends","Unique link clicks","CTR (all)","Unique CTR (link click-through rate)"
Julie_Cafe,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",210,estimated_ad_recallers,1210,1260,0.035333333333333,-,7.42,17.355372,1,16.666666666667,1.041322,2,2022-05-08,2022-05-08,1,0.15873,0.082645
Julie_Dark,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",110,estimated_ad_recallers,640,678,0.043636363636364,-,4.8,17.1875,,16.22418879056,1.059375,0,2022-05-10,2022-05-10,,0,0
Julie_Rose_Gold,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",10,estimated_ad_recallers,60,60,0.021,-,0.21,16.666667,,16.666666666667,1,0,2022-05-03,2022-05-03,,0,0
Julie_Rose_Gold,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",250,estimated_ad_recallers,1520,1564,0.02684,-,6.71,16.447368,,15.984654731458,1.028947,0,2022-05-05,2022-05-05,,0,0
Julie_Rose_Gold,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",70,estimated_ad_recallers,453,471,0.039,-,2.73,15.452539,1,14.861995753715,1.039735,1,2022-05-08,2022-05-08,1,0.212314,0.220751
Julie_Rose_Gold,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",80,estimated_ad_recallers,526,551,0.038625,-,3.09,15.209125,1,14.519056261343,1.047529,2,2022-05-09,2022-05-09,1,0.362976,0.190114
Julie_Rose_Gold,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",70,estimated_ad_recallers,486,509,0.046285714285714,-,3.24,14.403292,,13.752455795678,1.047325,0,2022-05-07,2022-05-07,,0,0
Julie_Rose_Gold,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",60,estimated_ad_recallers,419,426,0.041,-,2.46,14.319809,,14.084507042254,1.016706,1,2022-05-06,2022-05-06,,0.234742,0
Nadine_Negro,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",70,estimated_ad_recallers,520,563,0.059142857142857,-,4.14,13.461538,1,12.433392539964,1.082692,1,2022-05-10,2022-05-10,1,0.17762,0.192308
Julie_Serpent_Nude,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",130,estimated_ad_recallers,1026,1082,0.055153846153846,-,7.17,12.670565,2,12.014787430684,1.054581,2,2022-05-10,2022-05-10,2,0.184843,0.194932
Julie_Serpent_Red,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",110,estimated_ad_recallers,879,892,0.049454545454545,-,5.44,12.514221,,12.331838565022,1.01479,0,2022-05-10,2022-05-10,,0,0
Julie_Cafe,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",30,estimated_ad_recallers,261,270,0.056333333333333,-,1.69,11.494253,,11.111111111111,1.034483,0,2022-05-10,2022-05-10,,0,0
Noelle_Vino,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",40,estimated_ad_recallers,380,414,0.074,-,2.96,10.526316,,9.6618357487923,1.089474,0,2022-05-10,2022-05-10,,0,0
Julie_Rose_Gold,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",10,estimated_ad_recallers,95,107,0.058,-,0.58,10.526316,,9.3457943925234,1.126316,0,2022-05-10,2022-05-10,,0,0
Julie_Cafe,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",40,estimated_ad_recallers,421,437,0.06075,-,2.43,9.501188,1,9.1533180778032,1.038005,1,2022-05-03,2022-05-03,1,0.228833,0.23753
Nadine_Negro,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",70,estimated_ad_recallers,771,801,0.059142857142857,-,4.14,9.079118,1,8.7390761548065,1.038911,2,2022-05-03,2022-05-03,1,0.249688,0.129702
Julie_Serpent_Red,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",1,estimated_ad_recallers,24,24,0.05,-,0.05,4.166667,,4.1666666666667,1,0,2022-05-03,2022-05-03,,0,0
Nadine_Negro,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,,,0,0,2022-05-02,2022-05-02,,0,0
Noelle_Vino,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,,,0,0,2022-05-02,2022-05-02,,0,0
Julie_Serpent_Red,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,,,0,0,2022-05-02,2022-05-02,,0,0
Julie_Serpent_Nude,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,,,0,0,2022-05-02,2022-05-02,,0,0
Julie_Dark,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,,,0,0,2022-05-02,2022-05-02,,0,0
Julie_Rose_Gold,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,,,0,0,2022-05-02,2022-05-02,,0,0
Julie_Cafe,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,,,0,0,2022-05-02,2022-05-02,,0,0
Nadine_Negro,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,,,0,0,2022-05-01,2022-05-01,,0,0
Noelle_Vino,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,,,0,0,2022-05-01,2022-05-01,,0,0
Julie_Serpent_Red,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,,,0,0,2022-05-01,2022-05-01,,0,0
Julie_Serpent_Nude,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,,,0,0,2022-05-01,2022-05-01,,0,0
Julie_Dark,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,,,0,0,2022-05-01,2022-05-01,,0,0
Julie_Rose_Gold,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,,,0,0,2022-05-01,2022-05-01,,0,0
Julie_Cafe,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,,,0,0,2022-05-01,2022-05-01,,0,0
